Year,AGE,Count
1976,40-44,2597
1976,45 AND OVER,180
1976,UNKNOWN,51
1977,UNDER 15,868
1977,15-19,52957
1977,20-24,119103
1977,25-29,106147
1977,30-34,51249
1977,35-39,14297
1977,40-44,2749
1977,45 AND OVER,151
1977,UNKNOWN,55
1978,UNDER 15,794
1978,15-19,52774
1978,20-24,120378
1978,25-29,108141
1978,30-34,55614
1978,35-39,15430
1978,40-44,2715
1978,45 AND OVER,137
1978,UNKNOWN,173
1979,UNDER 15,806
1979,15-19,53925
1979,20-24,126554
1979,25-29,115190
1979,30-34,61916
1979,35-39,17430
1979,40-44,3008
1979,45 AND OVER,179
1979,UNKNOWN,179
1980,UNDER 15,765
1980,15-19,54756
1980,20-24,133504
1980,25-29,122979
1980,30-34,67815
1980,35-39,19276
1980,40-44,3226
1980,45 AND OVER,164
1980,UNKNOWN,235
1981,UNDER 15,876
1981,15-19,55004
1981,20-24,137056
1981,25-29,129334
1981,30-34,73234
1981,35-39,20977
1981,40-44,3587
1981,45 AND OVER,191
1981,UNKNOWN,159
1982,UNDER 15,851
1982,15-19,53170
1982,20-24,136388
1982,25-29,134830
1982,30-34,76090
1982,35-39,24205
1982,40-44,3734
1982,45 AND OVER,220
1982,UNKNOWN,143
1983,UNDER 15,853
1983,15-19,50391
1983,20-24,134387
1983,25-29,137197
1983,30-34,81288
1983,35-39,27110
1983,40-44,4103
1983,45 AND OVER,215
1983,UNKNOWN,178
1984,UNDER 15,927
1984,15-19,49130
1984,20-24,134540
1984,25-29,141813
1984,30-34,86243
1984,35-39,29728
1984,40-44,4530
1984,45 AND OVER,256
1984,UNKNOWN,227
1985,UNDER 15,890
1985,15-19,50365
1985,20-24,136985
1985,25-29,149523
1985,30-34,94067
1985,35-39,33578
1985,40-44,4953
1985,45 AND OVER,240
1985,UNKNOWN,215
1986,UNDER 15,901
1986,15-19,51817
1986,20-24,135304
1986,25-29,152386
1986,30-34,98756
1986,35-39,36822
1986,40-44,5410
1986,45 AND OVER,296
1986,UNKNOWN,213
1987,UNDER 15,983
1987,15-19,53586
1987,20-24,135924
1987,25-29,158120
1987,30-34,107459
1987,35-39,40294
1987,40-44,6527
1987,45 AND OVER,323
1987,UNKNOWN,160
1988,UNDER 15,1088
1988,15-19,57806
1988,20-24,139238
1988,25-29,166288
1988,30-34,115515
1988,35-39,44864
1988,40-44,7434
1988,45 AND OVER,330
1988,UNKNOWN,145
1989,UNDER 15,1332
1989,15-19,63603
1989,20-24,147737
1989,25-29,174700
1989,30-34,123080
1989,35-39,49370
1989,40-44,8588
1989,45 AND OVER,339
1989,UNKNOWN,559
1990,UNDER 15,1390
1990,15-19,69560
1990,20-24,159405
1990,25-29,182923
1990,30-34,133423
1990,35-39,54471
1990,40-44,9748
1990,45 AND OVER,447
1990,UNKNOWN,299
1991,UNDER 15,1469
1991,15-19,70322
1991,20-24,158779
1991,25-29,177516
1991,30-34,133192
1991,35-39,56654
1991,40-44,10653
1991,45 AND OVER,472
1991,UNKNOWN,171
1992,UNDER 15,1595
1992,15-19,69272
1992,20-24,155065
1992,25-29,171278
1992,30-34,133205
1992,35-39,58660
1992,40-44,11077
1992,45 AND OVER,535
1992,UNKNOWN,151
1993,UNDER 15,1572
1993,15-19,68519
1993,20-24,149047
1993,25-29,163262
1993,30-34,131438
1993,35-39,58505
1993,40-44,11458
1993,45 AND OVER,572
1993,UNKNOWN,110
1994,UNDER 15,1687
1994,15-19,68198
1994,20-24,140172
1994,25-29,154705
1994,30-34,129926
1994,35-39,59550
1994,40-44,12054
1994,45 AND OVER,668
1994,UNKNOWN,74
1995,UNDER 15,1640
1995,15-19,66644
1995,20-24,132607
1995,25-29,148585
1995,30-34,127853
1995,35-39,60577
1995,40-44,12573
1995,45 AND OVER,679
1995,UNKNOWN,68
1996,UNDER 15,1485
1996,15-19,63118
1996,20-24,127431
1996,25-29,145795
1996,30-34,125030
1996,35-39,61836
1996,40-44,13158
1996,45 AND OVER,685
1996,UNKNOWN,90
1997,UNDER 15,1256
1997,15-19,59851
1997,20-24,122924
1997,25-29,141195
1997,30-34,121938
1997,35-39,62674
1997,40-44,13506
1997,45 AND OVER,766
1997,UNKNOWN,64
1998,UNDER 15,1066
1998,15-19,58141
1998,20-24,121317
1998,25-29,140369
1998,30-34,121326
1998,35-39,64210
1998,40-44,14010
1998,45 AND OVER,777
1998,UNKNOWN,49
1999,UNDER 15,1038
1999,15-19,56577
1999,20-24,120270
1999,25-29,137637
1999,30-34,121779
1999,35-39,65532
1999,40-44,14272
1999,45 AND OVER,904
1999,UNKNOWN,64
2000,UNDER 15,895
2000,15-19,55373
2000,20-24,122591
2000,25-29,139615
2000,30-34,127502
2000,35-39,68685
2000,40-44,15614
2000,45 AND OVER,957
2000,UNKNOWN,53
2001,UNDER 15,810
2001,15-19,52966
2001,20-24,123227
2001,25-29,136439
2001,30-34,127946
2001,35-39,68829
2001,40-44,16037
2001,45 AND OVER,1078
2001,UNKNOWN,39
2002,UNDER 15,743
2002,15-19,50201
2002,20-24,123056
2002,25-29,137237
2002,30-34,130368
2002,35-39,69873
2002,40-44,16553
2002,45 AND OVER,1176
2002,UNKNOWN,38
2003,UNDER 15,710
2003,15-19,49330
2003,20-24,123815
2003,25-29,140556
2003,30-34,134809
2003,35-39,72662
2003,40-44,17692
2003,45 AND OVER,1216
2003,UNKNOWN,37
2004,UNDER 15,696
2004,15-19,49737
2004,20-24,124309
2004,25-29,141608
2004,30-34,134578
2004,35-39,74580
2004,40-44,17926
2004,45 AND OVER,1201
2004,UNKNOWN,50
2005,UNDER 15,756
2005,15-19,50017
2005,20-24,125529
2005,25-29,143446
2005,30-34,133741
2005,35-39,75728
2005,40-44,17982
2005,45 AND OVER,1433
2005,UNKNOWN,68
2006,UNDER 15,681
2006,15-19,52770
2006,20-24,129138
2006,25-29,148268
2006,30-34,133443
2006,35-39,77781
2006,40-44,18572
2006,45 AND OVER,1431
2006,UNKNOWN,73
2007,UNDER 15,663
2007,15-19,53393
2007,20-24,127989
2007,25-29,150512
2007,30-34,135357
2007,35-39,78446
2007,40-44,18269
2007,45 AND OVER,1459
2007,UNKNOWN,49
2008,UNDER 15,624
2008,15-19,51704
2008,20-24,122270
2008,25-29,147055
2008,30-34,132601
2008,35-39,76951
2008,40-44,18651
2008,45 AND OVER,1650
2008,UNKNOWN,61
2009,UNDER 15,548
2009,15-19,47811
2009,20-24,113930
2009,25-29,140953
2009,30-34,129070
2009,35-39,74476
2009,40-44,18303
2009,45 AND OVER,1615
2009,UNKNOWN,68
2010,UNDER 15,433
2010,15-19,43127
2010,20-24,107644
2010,25-29,136809
2010,30-34,128881
2010,35-39,72986
2010,40-44,18521
2010,45 AND OVER,1508
2010,UNKNOWN,70
2011,UNDER 15,426
2011,15-19,38328
2011,20-24,103016
2011,25-29,134262
2011,30-34,132347
2011,35-39,72980
2011,40-44,19028
2011,45 AND OVER,1580
2011,UNKNOWN,56
2012,UNDER 15,360
2012,15-19,34921
2012,20-24,101094
2012,25-29,133739
2012,30-34,137143
2012,35-39,75465
2012,40-44,19311
2012,45 AND OVER,1679
2012,UNKNOWN,76
2013,UNDER 15,315
2013,15-19,30499
2013,20-24,96675
2013,25-29,130086
2013,30-34,139106
2013,35-39,76671
2013,40-44,19248
2013,45 AND OVER,1732
2013,UNKNOWN,60
